X,Y,OBJECTID,STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTUSE,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TYPE,PCPC_DIST,COUNCIL_DIST,BLDG_AGE,URL,SITE_CODE2
-75.135158328180054,39.978385454879927,996,A,1964,Towey Playground,1832-50 N HOWARD ST,Towey Playground,,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,Programmed Recreation,Recreation Center,Y,Owned,Public use,PPR,781166800,CITY OF PHILA,,,,,1.451972,C,Lower North,7,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=842,
-75.113358031888396,39.996526450194239,997,A,1309,Market Frankford El Station - Allegheny,KENSINGTON & ALLEGHENY AVES,Market Frankford El Station - Allegheny,20206E,,,Transit and Transporation,,Structure,Transit Station,,Transit Station,Y,Owned,SEPTA,SEPTA,,,,,,,,C,North,7,,,
-75.135327403390292,40.042259046912491,998,A,760,"Parking Lot - Fern Rock Station
ern Rock Station",901 W NEDRO AVE,Parking Lot - Fern Rock Station,20452E,,,Transit and Transporation,,Land,Parking Lot,,Parking Lot,Y,Owned,Public use,PPA,785355401,CITY OF PHILA,,,,,1.574633,C,Upper North,9,,,
-75.117678249899328,40.031527339167958,999,A,768,Fire Engine 61,5334 RISING SUN AVE,Fire Engine 61 & Fuel Site 265,13061E,,,Public Safety All,Fire Dept,Building,Fire Station,,Fire Station,Y,Owned,FIRE,DPP,785409000,CITY OF PHILA,4462,100,,,0.166736,C,Upper North,9,,,
-75.19461085485878,40.008875355787438,1000,A,773,Fire Engine 35/Ladder 25,4208-52 RIDGE AVE,Fire Engine 35/Ladder 25,13035E,,,Public Safety All,Fire Dept,Building,Fire Station,,Fire Station,Y,Owned,FIRE,DPP,784376100,CITY OF PHILA,8586,100,,1958,1.533517,C,Lower Northwest,4,58,,
-75.020712472049993,40.127555648253647,1001,A,310,Parking Lot - Forrest Hills Station,299 BYBERRY RD,Parking Lot - Forrest Hills Station,20442E,,,Transit and Transporation,,Land,Parking Lot,,Parking Lot,Y,Owned,Public use,PPA,583000730,CITY OF PHILA,,,,,2.074426,C,Upper Far Northeast,10,,,
-75.081345717044471,39.990781309774555,1002,A,1204,Northeast Transfer Station ,3899 RICHMOND ST,Northeast Transfer Station,12710E,,,Public Works and Utilities,,Building,Transfer Station,,Transfer Station,Y,Owned,STREETS,STREETS,884463045,CITY OF PHILA,19902,50,1,1960,137.734711,M,River Wards,6,56,,
-75.173544519800004,39.980507513117082,1003,A,1206,Library Branch - Cecil B. Moore,2320-34 CECIL B MOORE AVE,Library Branch - Cecil B. Moore,52005E,,,Libraries,,Building,Library Branch,,Library Branch,Y,Owned,LIBRARY,LIBRARY,782085400,CITY OF PHILA,8550,100,1,1961,0.264417,C,Lower North,5,55,http://libwww.freelibrary.org/branches/branch.cfm?loc=CBM,
-75.210532727430646,40.0700367825564,1004,A,1208,Parking Lot - Highland Station,8400 SEMINOLE AVE,Parking Lot - Highland Station,20462E,,,Transit and Transporation,,Land,Parking Lot,,Parking Lot,Y,Owned,Public use,PPA,092294915,CITY OF PHILA,,,,,0.823898,C,Upper Northwest,8,,,
-75.177933319406677,40.026473588313152,1005,A,1210,Parking Lot - 5401 Archer St,5401 ARCHER ST,Parking Lot - 5401 Archer St,20402E,,,Transit and Transporation,,Land,Parking Lot,,Parking Lot,Y,Owned,Public use,PPA,124149005,CITY OF PHILA,,,,,0.101056,C,Upper Northwest,8,,,
