X,Y,OBJECTID,STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTUSE,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TYPE,PCPC_DIST,COUNCIL_DIST,BLDG_AGE,URL,SITE_CODE2
-75.234035347949956,39.966815493758865,2001,A,2656,Shepard Recreation Center Pool,5700 HAVERFORD AVE,Shepard Recreation Center,,,,Parks and Recreation All,Recreational Resources,Structure,Pool,,Pool,Y,Owned,PPR,PPR,783210300,CITY OF PHILA,,,,,,C,West,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=830,
-75.234022706857914,39.966424854886583,2002,A,2657,Shepard Recreation Center Tennis Court,5700 HAVERFORD AVE,Shepard Recreation Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Tennis Court,,Tennis Court,Y,Owned,Public use,PPR,783210300,CITY OF PHILA,,,,,,C,West,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=830,
-75.237499006003915,39.946757918513399,2003,A,2658,Sherwood Park Playground Equipment,5601 BALTIMORE AVE,Sherwood Park,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,783030600,CITY OF PHILA,,,,,,C,West,3,,,
-75.145777799332606,39.934688970680668,2004,A,2659,Shot Tower Playground Play Equipment,101-31 CARPENTER ST,Shot Tower Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,781041800,CITY OF PHILA,,,,,,C,South,1,,,
-75.145987482759153,39.935084224097359,2005,A,2660,Shot Tower Playground Athletic Field,101-31 CARPENTER ST,Shot Tower Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,781041800,CITY OF PHILA,,,,,,C,South,1,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=832,
-75.158529035929035,40.060510678992408,2006,A,2661,Simons Youth Access & Teen Center Athletic Field,1601-35 E WALNUT LN,Simons Youth Access & Teen Center,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,784471550,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=834,
-75.157835608661159,40.061607144682633,2007,A,2662,Simons Youth Access & Teen Center Tennis Court 1,1601-35 E WALNUT LN,Simons Youth Access & Teen Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Tennis Court,,Tennis Court,Y,Owned,Public use,PPR,784471550,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=834,
-75.157752851422842,40.061337084370862,2008,A,2663,Simons Youth Access & Teen Center Tennis Court 2,1601-35 E WALNUT LN,Simons Youth Access & Teen Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Tennis Court,,Tennis Court,Y,Owned,Public use,PPR,784471550,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=834,
-75.195972003027194,39.981406025547983,2009,A,2671,Smith Memorial Playground Play Equipment,3500 RESERVOIR DR,Smith Memorial Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Lessor,Smith Memorial Playground,Smith Memorial Playground,,,,,,,,C,Lower North,4,,,
-75.187734871131212,39.925741620524832,2010,A,2672,Smith Playground Basketball Court,2100 S 24TH ST,Smith Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,782808100,CITY OF PHILA,,,,,,C,South,2,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=836,
-75.202369158900808,40.005272413507107,2011,I,1362,Falls Road House Garage,3701 NEILL DR,West Fairmount Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,783359600,CITY OF PHILA,,,,,,C,West Park,4,,,
-75.18274497096084,39.920231343913258,2012,A,1385,Stephen Girard Toilet Building,2101 SHUNK ST,Girard Estates Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,782512100,CITY OF PHILA,,,2,,,C,South,2,,,
-75.142413353673604,39.944350462241118,2013,A,1415,I-95 Park Utilities Bldg 5,DELAWARE AVE AND SPRUCE ST,Foglietta Plaza,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,Central,1,,,
-75.142495012462149,39.944361212627932,2014,A,1416,I-95 Park Utilities Bldg 3,DELAWARE AVE AND SPRUCE ST,Foglietta Plaza,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,Central,1,,,
-75.142572278492921,39.944370027714129,2015,A,1417,I-95 Park Utilities Bldg 4,DELAWARE AVE AND SPRUCE ST,Foglietta Plaza,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,Central,1,,,
-75.142781342975724,39.944396150532221,2016,A,1418,I-95 Park Utilities Bldg 2,DELAWARE AVE AND SPRUCE ST,Foglietta Plaza,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,Central,1,,,
-75.142892723111871,39.944410727991972,2017,A,1419,I-95 Park Utilities Bldg 1,DELAWARE AVE AND SPRUCE ST,Foglietta Plaza,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,Central,1,,,
-75.143024351608048,39.944426365640041,2018,A,1420,I-95 Park Utilities Bldg 6,DELAWARE AVE AND SPRUCE ST,Foglietta Plaza,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,Central,1,,,
-75.152399872660311,39.947332013954941,2019,A,1423,Washington Square Maintenance Building,600 WALNUT ST,Washington Square,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,781417200,CITY OF PHILA,,,,,,C,Central,1,,,
-75.172644380685085,39.949330531169977,2020,A,1424,Rittenhouse Square Maintenance Building,1800 WALNUT ST,Rittenhouse Square,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,782609600,CITY OF PHILA,,,,,7.332931,C,Central,5,,,
-75.170852467628066,39.957700043251918,2021,A,1427,Logan Square Maintenance Building,200 N 18TH ST,Logan Square,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,782697700,CITY OF PHILA,,,1,2011,,C,Central,5,5,,
-75.265254370385676,39.966964882321683,2022,A,1432,Cobbs Creek Golf Course Maintenance Building,7902 LANSDOWNE AVE,Cobbs Creek Golf Course & Driving Range,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,West Park,4,,,
-75.233971788796183,39.96713777276554,2023,A,1437,Shepard Pool Building,5700 HAVERFORD AVE,Shepard Recreation Center,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,783210300,CITY OF PHILA,7077,,,,,C,West,4,,,
-75.188746977070323,39.967727122637463,2024,A,1439,Water Bldg, ,West Fairmount Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,West Park,3,,,
-75.183611249090788,39.904904967741302,2025,I,640,FDR Golf Course Maintenance And Car Barn,1954 PATTISON AVE,FDR Park & Golf Course,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,Vacant,Garage\Maintenance Building,Y,Owned,PPR,PPR,782418800,CITY OF PHILA,8448,,,,185.976883,M,Lower South,2,,,
-75.207724957774857,39.989241655628632,2026,A,1023,Car Barn at West Fairmount Park,4100 MONTGOMERY DR,Car Barn Fairmount Park & Garage 282,17213E,2986,Garage 282,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,36804,100,,,,M,West Park,4,,,
-75.1501848127334,39.955517152586793,2027,A,52,Franklin Square Maintenance Building & Restroom,200 N 6TH ST,Franklin Square,17235E,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,781491200,CITY OF PHILA,707,,1,,,C,Central,1,,,
-75.219668205733882,40.049556946608824,2028,A,622,Wissahickon Maintenance Building,900 WISES MILL RD,Wissahickon Valley Park,17304E,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,784483600,FAIRMOUNT PARK COMM,,,,,,C,Lower Northwest,4,,,
-75.22228282302045,39.983486748767973,2029,A,1477,Mann Music Center Auxiliary Building,5201 PARKSIDE AVE,West Fairmount Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,West Park,4,,,
-75.19891188706309,39.983474086938074,2030,A,1479,Mount Pleasant Maintenance Garage,3780 MT PLEASANT DR,East Fairmount Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,,,,,,,,C,Lower North,4,,,
-75.09967131324602,40.046464101850326,2031,A,1080,L&I East District Office,6000 RISING SUN AVE,L&I East District Office & Fire Engine 64,20021E,1083,Fire Engine 64,City Operations,,Building,Multi-Use\Office Building,Office Building,Multi-Use\Office Building,Y,Owned,L&I,DPP,786458500,CITY OF PHILA,18592,100,1,,16.195339,C,Lower Northeast,9,,,
-75.09959602951966,40.046476111042949,2032,A,1083,Fire Engine 64,6000 RISING SUN AVE,L&I East District Office & Fire Engine 64,13064E,1080,L&I East District Office,Public Safety All,Fire Dept,Building,Fire Station,,Fire Station,Y,Owned,FIRE,DPP,786458500,CITY OF PHILA,5500,100,1,,16.195339,C,Lower Northeast,9,,,
-75.143276567713528,39.992824703892261,2033,I,1165,Fairhill High Pressure Pumping Staion (Decommissioned),623 W LEHIGH AVE,Fairhill High Pressure Pumping Staion (Decommissioned),28029E,,,Public Works and Utilities,,Structure,Water Pumping Station,Vacant,Water Pumping Station,Y,Owned,Vacant,DPP,785310200,CITY OF PHILA,27500,,,,3.934114,M,North,5,,,
-75.139707082672174,39.98599517947995,2034,A,1302,Cassiano Playground,2301-17 N 4TH ST,Cassiano Playground,16651E,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,,Athletic Field\Soccer Field,Y,Owned,Public use,PPR,,,,,,,1.869053,C,Lower North,7,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=804,
-75.141525801143629,39.986889693544839,2035,A,3016,Dauphin Street Playground Handball Court,2328 N 5TH ST,Dauphin Street Play Lot,,,,Parks and Recreation All,Recreational Resources,Equipment,Handball Court,,Basketball Court,Y,Owned,Public use,PPR,191312601,CITY OF PHILA,,,,,0.208739,C,Lower North,7,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=804,
-75.137907148071093,40.000352375617574,2036,A,922,Rivera Recreation Center Building,3201 N 5TH ST,Rivera Recreation Center,16331E,1040,Mann Older Adult Center,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,786672100,CITY OF PHILA,33532,,2,1960,,C,North,7,56,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=820,
-75.1875853771393,39.926113748859905,2037,A,2673,Smith Playground Handball Court,2100 S 24TH ST,Smith Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Handball Court,,Handball Court,Y,Owned,Public use,PPR,782808100,CITY OF PHILA,,,,,,C,South,2,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=836,
-75.186936885713095,39.925759546358385,2038,A,2674,Smith Playground Play Equipment,2100 S 24TH ST,Smith Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,782808100,CITY OF PHILA,,,,,,C,South,2,,,
-75.187507259234735,39.924797863224434,2039,A,2675,Smith Playground Athletic Field,2200 S 24TH ST,Smith Playground,,,,Parks and Recreation All,Recreational Resources,Land,Athletic Field\Soccer Field,,Athletic Field\Soccer Field,Y,Owned,Public use,PPR,782808200,CITY OF PHILA,,,,,,C,South,2,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=836,
-75.152475843520534,40.024313574718569,2040,A,2681,Stenton Park Playground Play Equipment,4600 N 16TH ST,Stenton Park Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,785673300,CITY OF PHILA,,,,,,C,Upper North,8,,,
-75.151756325775523,40.024640586156501,2041,A,2682,Stenton Park Playground Athletic Field,4600 N 16TH ST,Stenton Park Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,785673300,CITY OF PHILA,,,,,,C,Upper North,8,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=838,
-75.197554142824302,39.936436122470127,2042,A,2683,Stinger Square Playground Play Equipment,1400 S 32ND ST,Stinger Square Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,782843500,CITY OF PHILA,,,,,,C,South,2,,,
-75.197422766139383,39.936042235492202,2043,A,2684,Stinger Square Playground Pool,1400 S 32ND ST,Stinger Square Playground,,,,Parks and Recreation All,Recreational Resources,Structure,Pool,,Pool,Y,Owned,PPR,PPR,782843500,CITY OF PHILA,,,,,,C,South,2,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=738,
-75.107244209797244,39.982301095862006,2044,A,2685,Stokely Playground Play Equipment,3000 EDGEMONT ST,Stokely Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,786116400,CITY OF PHILA,,,,,,C,River Wards,1,,,
-75.107001079498147,39.982432814274823,2045,A,2686,Stokely Playground Baseball Field Hardscape,3000 EDGEMONT ST,Stokely Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,786116400,CITY OF PHILA,,,,,,C,River Wards,1,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=726,
-75.106878430982022,39.982271692563621,2046,A,2687,Stokely Playground Handball Court,3000 EDGEMONT ST,Stokely Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Handball Court,,Handball Court,Y,Owned,Public use,PPR,786116400,CITY OF PHILA,,,,,,C,River Wards,1,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=726,
-75.106863108987127,39.982092063858993,2047,A,2688,Stokely Playground Basketball Court,3000 EDGEMONT ST,Stokely Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,786116400,CITY OF PHILA,,,,,,C,River Wards,1,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=726,
-75.186948049423407,39.995083247703903,2048,A,2689,Strawberry Mansion Playground Basketball Court,3369 RIDGE AVE,Strawberry Mansion Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,282271320,REDEVELOPMENT AUTHORITY,,,,,,C,Lower North,4,,,
-75.124171836139283,40.049528864487037,2049,A,2690,Sturgis Playground Tennis Court,200-20 W 65TH AVE,Sturgis Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Tennis Court,,Tennis Court,Y,Owned,Public use,PPR,785736300,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=839,
-75.124255748527233,40.049204178887059,2050,A,2691,Sturgis Playground Basketball Court,200-20 W 65TH AVE,Sturgis Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,785736300,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=839,
-75.124395332765559,40.048723424160499,2051,A,2692,Sturgis Playground Athletic Field,200-20 W 65TH AVE,Sturgis Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,785736300,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=839,
-75.204183838767179,40.02942993578624,2052,A,1534,Arrow Field Storage Building,640 W WALNUT LN,Wissahickon Valley Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,784471200,CITY OF PHILA,,,,,,C,Lower Northwest,4,,,
-75.202814241825138,40.030196215945352,2053,A,1535,Walnut Lane Golf Course Car Barn/maintenance Shed,700 WALNUT LN,Walnut Lane Golf Course,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,784471300,FAIRMOUNT PARK COMM,,,1,,,C,Lower Northwest,4,,,
-75.094861907991685,40.028643080462288,2054,A,1537,Houseman Pool Building,802 E GODFREY AVE,Houseman Playground,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,786161300,CITY OF PHILA,7952,,1,1965,,C,Lower Northeast,9,51,,
-75.189610547475041,40.034921008484318,2055,A,1542,Thomas Mansion Garage,6331 WISSAHICKON AVE,Clifford Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,784484650,FAIRMOUNT PARK COMM,,,,,,C,Upper Northwest,8,,,
-75.012253345329711,40.031149094918838,2056,A,1543,Pennypack on the Delaware Maintenance Building,8201 STATE RD,Pennypack Creek Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,786505000,CITY OF PHILA,,,,,,C,North Delaware,6,,,
-75.226860189347903,40.055743628620746,2057,A,1563,Valley Green Road Garage,900 WISES MILL RD,Wissahickon Valley Park,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,784483600,FAIRMOUNT PARK COMM,,,,,,C,Lower Northwest,4,,,
-74.9800509223262,40.051231427619641,2058,A,1566,Glen Foerd Garden House,5001 GRANT AVE,Glen Foerd,,,,Parks and Recreation All,,Building,Garage\Maintenance Building,,Garage\Maintenance Building,Y,Owned,PPR,PPR,786166200,CITY OF PHILA,,,,1850,,C,North Delaware,6,166,,
-75.203089866787252,40.021583909049127,2059,A,1842,Daisy Athletic Field 2,5000 HERMIT LN,Daisy Day Camp Playground,,,,Parks and Recreation All,Recreational Resources,Land,Athletic Field\Soccer Field,,Athletic Field\Soccer Field,Y,Owned,Public use,PPR,784190150,CITY OF PHILA,,,,,,C,Lower Northwest,4,,,
-75.203388661089903,40.022628910627652,2060,A,2929,Daisy Fields Playground Equipment,5000 HERMIT LN,Daisy Day Camp Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,784190150,CITY OF PHILA,,,,,,C,Lower Northwest,4,,,
-75.202916413304536,40.022471589705034,2061,A,3064,Daisy Baseball Field 1,5000 HERMIT LN,Daisy Day Camp Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,784190150,CITY OF PHILA,,,,,,C,Lower Northwest,4,,,
-75.211326368669134,40.029054642827248,2062,A,671,Kendrick Recreation Center Building,5822-24 RIDGE AVE,Kendrick Recreation Center,,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,784377900,CITY OF PHILA,27684,,,1927,,C,Lower Northwest,4,89,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=771,
-75.211486913706281,40.029736858099277,2063,A,2397,Kendrick Recreation Center Pool,5822-24 RIDGE AVE,Kendrick Recreation Center,16363E,,,Parks and Recreation All,Recreational Resources,Structure,Pool,,Pool,Y,Owned,PPR,PPR,784377900,CITY OF PHILA,,,,,,C,Lower Northwest,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=771,
-75.230746161463102,40.033046294080442,2064,A,3066,Hillside Recreation Center Playground Equipment 2,201 FOUNTAIN ST,Hillside Recreation Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,784154700,CITY OF PHILA,,,,,,C,Lower Northwest,4,,,
-75.20362543145221,40.013596778295891,2065,A,1051,Gustine Recreation Center Building,4540 RIDGE AVE,Gustine Recreation Center,16668E,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,784377400,CITY OF PHILA,12000,,,,,C,Lower Northwest,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=875,
-75.200423618848745,40.024533065382933,2066,A,1061,Hermitage Building,5000 HERMIT LN,Wissahickon Valley Park,17021E,,,Parks and Recreation All,,Building,Historic House\Site,,Historic House\Site,Y,Owned,Public use,PPR,784190150,CITY OF PHILA,,,,,,C,Lower Northwest,4,,,
-75.256866046105728,39.968210416196086,2067,A,3056,Cobbs Creek Park,7400 LANSDOWNE AVE,,17409E,,,Parks and Recreation All,Recreational Resources,Land,Regional\Metro Park,,Regional\Metro Park,Y,Owned,Public use,PPR,,,,,,,,C,West Park,4,,,
-75.164368136916352,39.94916062744938,2068,A,2968,Broad Street Transit Concourse South,,South Broad Street Transit Concourse,20152E,,,Transit and Transporation,,Structure,Transit Station,,Transit Station,N,UA,"SEPTA, City",,,,,,,,,C,Central,2,,,
-75.138137959164325,40.000724236436298,2069,A,1040,Older Adult Center - Mann,3201 N 5TH ST,Rivera Recreation Center,16650E,922,Rivera Recreation Center,Parks and Recreation All,Recreational Resources,Building,Older Adult Center,,Older Adult Center,Y,Owned,PPR,PPR,786672100,CITY OF PHILA,,,2,1960,,C,North,7,56,,
-75.198693491848005,40.003177449131108,2070,A,1042,Chamounix Equestrian Center Building,3250 CHAMOUNIX DR,Chamounix Equestrian Center Building & Police Mtd Unit / McCarthy Stables & Fuel Site 138,17218E,2987,Police Mounted Unit / McCarthy Stables  ,Parks and Recreation All,,Building,Barn\Stables,,Barn\Stables,Y,Owned,Public use,PPR,,,,,,,,C,West Park,4,,,
-75.143237268357069,39.971074210871691,2071,A,1191,Breezeway - 1239-49 N Leithgow Street,1239-49 N LEITHGOW ST,1239-49 N Leithgow Street,16387E,,,Parks and Recreation All,Park Land and Open Space,Land,Breezeway\Island\Managed Area,,Breezeway\Island\Managed Open Space,Y,Owned,Public use,PPR,182236611,CITY OF PHILA,,,,,0.081014,C,Lower North,5,,,
-75.175538839381929,39.956697426865631,2072,A,128,Coxe Park Playground,2132-34 CHERRY ST,Coxe Park Playground & Garage 290,16193E,,,Parks and Recreation All,Park Land and Open Space,Land,Neighborhood Park,,Neighborhood Park,Y,Owned,Public use,PPR,782091000,CITY OF PHILA,,,,,0.072945,C,Central,5,,,
-75.146545274356455,40.007364217728266,2073,A,697,11th & Venango Street Playground,3600 N 11TH ST,11th & Venango Play Lot,16666E,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,Non-Programmed Recreation,Recreation Center,N,UA,Public use,PPR,785623000,SCHOOL DISTRICT OF PHILA,,,,,0.816267,C,North,5,,,
-75.146463762107842,40.005342273909356,2074,A,816,Breezeway - 11th & Rising Sun,1038 W TIOGA ST,11th & Rising Sun,16009E,,,Parks and Recreation All,Park Land and Open Space,Land,Breezeway\Island\Managed Area,,Breezeway\Island\Managed Open Space,Y,Owned,Public use,PPR,431103810,CITY OF PHILA,,,,,0.095567,C,North,5,,,
-75.066434674794408,40.080581585237631,2075,A,3012,Verree & Susquehanna Playground Basketball Court,SUSQUEHANNA RD AND VERREE RD,Verree & Susquehanna Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,Non-Programmed Recreation,Basketball Court,Y,Owned,Public use,PPR,,,,,,,,C,Central Northeast,10,,,
-75.051165575408774,40.062130335836585,2076,A,1095,Northeast Recreation Center Building (Gym),8101 BUSTLETON AVE,Pelbano Playground,16659E,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,786055500,CITY OF PHILA,,,,,,C,Central Northeast,10,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=819,
-75.050778393735868,40.062277758874252,2077,A,102,Pelbano (Rhawnhurst) Playground Building,8101 BUSTLETON AVE,Pelbano Playground,16517E,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,786055500,CITY OF PHILA,12000,,,,,C,Central Northeast,10,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=819,
-75.123870271717593,40.049145304692708,2078,A,2693,Sturgis Playground Volleyball Court,200-20 W 65TH AVE,Sturgis Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Volleyball Court,,Volleyball Court,Y,Owned,Public use,PPR,785736300,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=839,
-75.116611010788887,39.986211133942312,2079,A,2715,Trenton & Auburn Playground Play Equipment,2221 E RUSH ST,Trenton & Auburn Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,252040705,CITY OF PHILA,,,,,,C,River Wards,1,,,
-75.004724774152066,40.048307174193376,2080,A,2716,Trumbette Playground Athletic Field,9050 TORRESDALE AVE,Trumbette Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,786537600,CITY OF PHILA,,,,,,C,North Delaware,6,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=767,
-75.003959769484936,40.049043446277196,2081,A,2717,Trumbette Playground Play Equipment,9050 TORRESDALE AVE,Trumbette Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,786537600,CITY OF PHILA,,,,,,C,North Delaware,6,,,
-75.003436279034688,40.048641135982791,2082,A,2718,Trumbette Playground Basketball Court,9050 TORRESDALE AVE,Trumbette Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,786537600,CITY OF PHILA,,,,,,C,North Delaware,6,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=767,
